Ref,Old Error,GQL,Cause,Status
CLU-010,Kernel database panicked,51N32,,Neo.ClientError.Routing.DbmsInPanic
CLU-011,This server does not support the system graph components agreed upon by the DBMS and must shut down.,51N32,,Neo.ClientError.Routing.DbmsInPanic
CLU-012,Discovery system failed irrecoverably,51N32,,Neo.ClientError.Routing.DbmsInPanic
CLU-013,See exception message for details,51N32,,Neo.ClientError.Routing.DbmsInPanic
CLU-014,Command application failed,51N32,,Neo.ClientError.Routing.DbmsInPanic
CLU-015,RaftMessage applier failed,51N32,,Neo.ClientError.Routing.DbmsInPanic
CLU-016,Snapshot failed,51N32,,Neo.ClientError.Routing.DbmsInPanic
CLU-017,Policy definition for '$policyName' could not be found.,08N15,,Neo.ClientError.Routing.RoutingFailed
CLU-018,Failed to acquire lease,51N33,,Neo.TransientError.Cluster.ReplicationFailure
CLU-019,Could not replicate token for $namedDatabaseId,51N33,,Neo.TransientError.Cluster.ReplicationFailure
CLU-020,cause,51N33,,Neo.TransientError.Cluster.ReplicationFailure
CLU-021,"The lease used for $tokenRequest has expired: [current lease id:$currentLeaseId, token request lease id:$requestLeaseId]",25N08,,Neo.TransientError.Transaction.LeaseExpired
CLU-022,The lease has been invalidated,25N08,,Neo.TransientError.Transaction.LeaseExpired
CLU-023,"The lease used for the transaction has expired: [current lease id:$currentLeaseId, transaction lease id:$leaseId]",25N08,,Neo.TransientError.Transaction.LeaseExpired
CLU-024,An error occurred! Unable to start `$namedDatabaseId`.,51N40,,Neo.DatabaseError.Database.UnableToStartDatabase
CLU-027,Can't invoke procedure on this server because it is not a read replica for database '$namedDatabaseId',52N05,,Neo.DatabaseError.Database.Unknown
CLU-054,Could not calculate reallocation for databases. $wrappedError,51N41,51N54,Neo.ClientError.Statement.ArgumentError
CLU-055,Can't specify both allowed and denied databases,42N85,,Neo.ClientError.Statement.ArgumentError
CLU-056,The old default database $oldDatabaseName is still running.,52N02,52N12,Neo.ClientError.Statement.ArgumentError
CLU-057,New default database $databaseName does not exist.,52N16,52N13,Neo.ClientError.Statement.ArgumentError
CLU-058,System database cannot be set as default,52N16,52N14,Neo.ClientError.Statement.ArgumentError
CLU-059,Provided allocator '$allocator' is not available or was not initialized!,52N16,52N15,Neo.ClientError.Statement.ArgumentError
CLU-066,Could not check allocator '$allocator'.,51N41,51N42,Neo.ClientError.Statement.ArgumentError
CLU-067,Could not deallocate server(s) $servers.,51N41,51N43,Neo.ClientError.Statement.ArgumentError
CLU-068,Could not drop server '$server'.,51N41,51N44,Neo.ClientError.Statement.ArgumentError
CLU-069,Could not cordon server '$server'.,51N41,51N45,Neo.ClientError.Statement.ArgumentError
CLU-070,Could not alter server '$server'.,51N41,51N46,Neo.ClientError.Statement.ArgumentError
CLU-071,Could not rename server '$server'.,51N41,51N47,Neo.ClientError.Statement.ArgumentError
CLU-072,Could not enable server '$server'.,51N41,51N48,Neo.ClientError.Statement.ArgumentError
CLU-073,Could not alter database '$databaseName'.,51N41,51N49,Neo.ClientError.Statement.ArgumentError
CLU-074,Could not recreate database '$databaseName'.,51N41,51N50,Neo.ClientError.Statement.ArgumentError
CLU-075,Could not create database '$databaseName'.,51N41,51N51,Neo.ClientError.Statement.ArgumentError
CLU-076,"Failed to $command with `$topology`, PRIMARY must be greater than 0.",22003,51N52,Neo.ClientError.Statement.ArgumentError
CLU-077,"Failed to $command with `$topology`, SECONDARY must be a positive value.",22003,51N53,Neo.ClientError.Statement.ArgumentError
CLU-078,Segment numbers not strictly monotonic. Expected: $expectedSegmentNumber but found: $fileNameSegmentNumber,51N39,,Neo.DatabaseError.General.StorageDamageDetected
CLU-079,File segment number does not match header. Expected: $expectedSegmentNumber but found: $fileNameSegmentNumber,51N39,,Neo.DatabaseError.General.StorageDamageDetected
CLU-080,Single file with incomplete or no header found: $file,51N39,,Neo.DatabaseError.General.StorageDamageDetected
CLU-081,Intermediate file with incomplete or no header found: $file,51N39,,Neo.DatabaseError.General.StorageDamageDetected
CLU-085,"Unexpected number of parameters: should have 0-2 parameters, but was $nbr",52N16,52N06,Neo.ClientError.Procedure.ProcedureCallFailed
CLU-086,Unrecognised port name '$port'. Valid values are: $values,52N16,52N07,Neo.ClientError.Procedure.ProcedureCallFailed
CLU-087,Unable to parse server id '$serverIdString',52N16,52N08,Neo.ClientError.Procedure.ProcedureCallFailed
CLU-088,Cannot get routing table for $databaseAlias because Bolt is not enabled. Please update your configuration for 'server.bolt.enabled',52N02,51N70,Neo.ClientError.Procedure.ProcedureCallFailed
CLU-089,"An address key is included in the query string provided to the GetRoutingTableProcedure, but its value could not be parsed.",52N16,52N10,Neo.ClientError.Procedure.ProcedureCallFailed
CLU-090,An unexpected error has occurred. Please refer to the server's debug log for more information.,52N02,52N11,Neo.ClientError.Procedure.ProcedureCallFailed
CLU-102,Setting/removing the quarantine marker failed,52N02,52N17,Neo.ClientError.Procedure.ProcedureCallFailed
CLU-105,$wrappedError,52N02,52N11,Neo.ClientError.Procedure.ProcedureCallFailed
CLU-109,Unexpected exception,25N09,,Neo.DatabaseError.General.UnknownError
CLU-110,Unexpected exception,25N09,,Neo.DatabaseError.General.UnknownError
CLU-111,Unexpected outcome: $replicationResultOutcome,25N09,,Neo.DatabaseError.General.UnknownError
CLU-115,No write operations are allowed directly on this database. Writes must pass through the leader. The role of this server is: $role,08N07,,Neo.ClientError.Cluster.NotALeader
CLU-116,Database does not exist. Database name: '$dbName',22000,22N51,Neo.ClientError.Database.DatabaseNotFound
CLU-117,Cannot find database: $dbName,22000,22N51,Neo.ClientError.Database.DatabaseNotFound
CLU-118,database not found: $dbName,22000,22N51,Neo.ClientError.Database.DatabaseNotFound
CLU-119,Default database not found: $dbName,22000,22N51,Neo.ClientError.Database.DatabaseNotFound
CLU-120,Unable to find database with name $dbName,22000,22N51,Neo.ClientError.Database.DatabaseNotFound
CLU-121,Unable to retrieve the status for database with name $dbName because no database with this name exists!,22000,22N51,Neo.ClientError.Database.DatabaseNotFound
CLU-122,Database does not exist: $dbName,22000,22N51,Neo.ClientError.Database.DatabaseNotFound
CLU-123,No database found with name/alias '$dbName',22000,22N51,Neo.ClientError.Database.DatabaseNotFound
CLU-124,No database found with name/alias '$dbName' on server(s) '$serverName',22000,22N51,Neo.ClientError.Database.DatabaseNotFound
CLU-125,Failed to recreate the specified database '$dbName': No database exists with that name or alias.,22000,22N51,Neo.ClientError.Database.DatabaseNotFound
CLU-126,Database with name `$dbName` not found.,22000,22N51,Neo.ClientError.Database.DatabaseNotFound
CLU-127,Database '%s' does not exist': No database exists with that name or alias.,22000,22N51,Neo.ClientError.Database.DatabaseNotFound
CLU-128,"The number of primary constrained seeding servers '$primaryConstrainedServers', is larger than the desired number of primary allocations '$desiredPrimaries'.",22003,51N56,Neo.ClientError.Statement.ArgumentError
CLU-129,"The number of secondary constrained seeding servers '$secondaryConstrainedServers', is larger than the desired number of secondary allocations '$desiredSecondaries'.",22003,51N56,Neo.ClientError.Statement.ArgumentError
CLU-130,"The number of seeding servers '$nbrSeedingServers', is larger than the desired number of allocations '$desiredAllocations'.",22003,51N56,Neo.ClientError.Statement.ArgumentError
CLU-131,"Desired number of allocations is '$desiredAllocations', but only '$nbrAllocationsFound' possible servers found - some servers may be constrained.",51N66,,Neo.ClientError.Statement.ArgumentError
CLU-132,"The number of seeding servers '$seedersCount', is larger than the desired number of primary allocations '$desiredPrimaries'.",22003,51N56,Neo.ClientError.Statement.ArgumentError
CLU-133,Unexpected error while picking allocations - primary exceeded.,51N57,,Neo.DatabaseError.General.UnknownError
CLU-134,Unexpected error while picking allocations - secondary exceeded.,51N57,,Neo.DatabaseError.General.UnknownError
CLU-135,Unexpected error while picking allocations - incomplete.,51N57,,Neo.DatabaseError.General.UnknownError
CLU-136,The recreation of a database is not supported when seed updating is not enabled.,52N02,52N20,Neo.ClientError.Procedure.ProcedureCallFailed
CLU-137,The number of seeding servers '$nbrSeedingServers' is larger than the defined number of allocations '$nbrAllocations'.,52N16,52N18,Neo.ClientError.Statement.ArgumentError
CLU-138,The specified seeding server with id '$serverId' could not be found.,52N16,52N19,Neo.ClientError.Statement.ArgumentError
CLU-139,No write operations are allowed directly on this database. Writes must pass through the writer.,52N02,08N07,Neo.ClientError.Cluster.NotALeader
CLU-140,Incorrect value type provided for allocation hint '%s'. Expected an Integer but found a %s.,22G03,22N27,Neo.ClientError.General.InvalidArguments
CLU-141,The key %s is not a recognised allocation hint key! Valid hint keys are: %s,22NA9,,Neo.ClientError.General.InvalidArguments
CMP-001,Unable to route to database '$dbName'. Unable to get bolt address of leader.,08N00,,Neo.ClientError.Cluster.NotALeader
CMP-002,"No longer possible to write to database '$dbName' on this instance and unable to route write operation to leader. Server-side routing is disabled. Either connect to the database directly using the driver (or interactively with the :use command), or enable server-side routing by setting `$routingEnabledSetting=true`",08N01,,Neo.ClientError.Cluster.NotALeader
CMP-003,"Unable to route to database ‘$dbName'. Server-side routing is disabled. Either connect to the database directly using the driver (or interactively with the :use command), or enable server-side routing by setting `$routingEnabledSetting=true`",08N02,,Neo.ClientError.Cluster.Routing
CMP-004,Database $dbName not found,42001,42N00,Neo.ClientError.Database.DatabaseNotFound
CMP-005,Graph not found: $dbName,42001,42N00,Neo.ClientError.Database.DatabaseNotFound
CMP-007,$graphName' is not a constituent of composite database '$database',42001,42N01,Neo.ClientError.Procedure.ProcedureCallFailed
CMP-008,Graph properties not found for graph $graphName,42001,42N00,Neo.ClientError.Procedure.ProcedureCallFailed
CMP-009,Writing in read access mode not allowed. Attempted write to $graph,08N03,42N02,Neo.ClientError.Statement.AccessMode
CMP-010,"Writing to more than one database per transaction is not allowed. Attempted write to $db1, currently writing to $db2",08N03,42N03,Neo.ClientError.Statement.AccessMode
CMP-011,Writing in read access mode not allowed. Attempted write to $graph,08N03,42N02,Neo.ClientError.Statement.AccessMode
CMP-012,"Writing to more than one database per transaction is not allowed. Attempted write to $db1, currently writing to $db2",08N03,42N03,Neo.ClientError.Statement.AccessMode
CMP-013,Graph not found: $graph,42001,42N00,Neo.ClientError.Statment.EntityNotFound
CMP-014-a,Remote execution failed with code $neo4jCode and message '$driverMessage',50N06,08N16,Neo.ClientError.Statement.RemoteExecutionClientError
CMP-014-b,,50N16,08N17,Neo.TransientError.Statement.RemoteExecutionTransientError
CMP-014-c,,50N17,08N18,Neo.DatabaseError.Statement.RemoteExecutionFailed
CMP-016,PROFILE' is not supported on composite databases.,42001,42N06,Neo.ClientError.Statement.SemanticError
CMP-019,Accessing a composite database and its constituents is only allowed when connected to it. Attempted to access '$accessedName' while connected to '$sessionDatabase',42001,42N04,Neo.ClientError.Statement.SemanticError
CMP-020,"When connected to a composite database, access is allowed only to its constituents. Attempted to access '$accessedName' while connected to '$sessionDatabase'",42001,42N05,Neo.ClientError.Statement.SemanticError
CMP-022,Expected static graph selection,42001,42N72,Neo.ClientError.Statement.SemanticError
CMP-023-a,The USE clause is not available in embedded sessions. Try running the query using a Neo4j driver or the HTTP API.,08N04,,Neo.ClientError.Statement.SemanticError
CMP-023-b,Query routing is not available in embedded sessions. Try running the query using a Neo4j driver or the HTTP API.,08N05,,Neo.ClientError.Statement.SemanticError
CMP-024,Multiple graphs in the same query not allowed here. This feature is only available on composite databases.Attempted to access graph $graphName,42001,42NA5,Neo.ClientError.Statement.SemanticError
CMP-025,Multiple graphs in the same query not allowed here. This feature is only available on composite databases.Attempted to access graph $graphName (transaction default),42001,42NA5,Neo.ClientError.Statement.SemanticError
CMP-026,Multiple graph references in the same query is not supported on standard databases. This capability is supported on composite databases only.,42001,42NA5,Neo.ClientError.Statement.SemanticError
CMP-031,USE clause must be either the first clause in a (sub-)query or preceded by an importing WITH clause in a sub-query.,42001,42N73,Neo.ClientError.Statement.SyntaxError
CMP-032,The USE clause is not available in embedded sessions. Try running the query using a Neo4j driver or the HTTP API.,08N04,,Neo.ClientError.Statement.SyntaxError
CMP-033,"Wrong arity. Expected $nbr1 argument(s), got $nbr2 argument(s)",42001,42I13,Neo.ClientError.Statement.SyntaxError
CMP-034,USE can only appear at the beginning of a (sub-)query,42001,42N73,Neo.ClientError.Statement.SyntaxError
CMP-036,Nested subqueries must use the same graph as their parent query.Attempted to access graph $use,42001,42N74,Neo.ClientError.Statement.SyntaxError
CMP-037,Multiple graphs in the same query not allowed here. This feature is only available on composite databases.Attempted to access graph $use,42001,42NA5,Neo.ClientError.Statement.SyntaxError
CMP-038,Dynamic graph lookup not allowed here. This feature is only available on composite databases. Attempted to access graph $use,42001,42N72,Neo.ClientError.Statement.SyntaxError
CMP-039,Type mismatch: USE clause must be given a Graph. Use either the name or alias of a database or the graph functions `graph.byName` and `graph.byElementId`.,22G03,22N01,Neo.ClientError.Statement.SyntaxError
CMP-040,`$graphFunction` is only allowed at the first position of a USE clause.,42001,42N75,Neo.ClientError.Statement.SyntaxError
CMP-042,Importing node values in remote subqueries is currently not supported,22N16,,Neo.ClientError.Statment.TypeError
CMP-043,Importing relationship values in remote subqueries is currently not supported,22N16,,Neo.ClientError.Statment.TypeError
CMP-044,Importing path values in remote subquries is currently not supported,22N16,,Neo.ClientError.Statment.TypeError
CMP-045,"Wrong type. Expected $expectedType, got $actualType",22G03,22N01,Neo.ClientError.Statment.TypeError
CMP-046,Can not create element id for node $nodeId. It is not supported to create element ids on composite databases.,22NB7,,Neo.ClientError.Statement.UnsupportedOperationError
CMP-047,Can not create element id for relationship $relationshipId. It is not supported to create element ids on composite databases.,22NB7,,Neo.ClientError.Statement.UnsupportedOperationError
CMP-048,$kind is only supported on $context.,42001,42N72,Neo.ClientError.Statement.UnsupportedOperationError
CMP-049,$kind operations are not supported on $context.,42NA0,"42NA1, 42NA2, 42NA3, 42NA4",Neo.ClientError.Statement.UnsupportedOperationError
CMP-050,Tried to execute $statementType1 after executing $statementType2,25N01,,Neo.ClientError.Transaction.ForbiddenDueToTransactionType
CMP-051,Parsing of supplied bookmarks failed with message: $wrappedException,08N12,,Neo.ClientError.Transaction.InvalidBookmark
CMP-052,Database '$dbName' not up to the requested version: $oldestAcceptableTxId. Latest database version is $latestTransactionId,08N13,,Neo.TransientError.Transaction.BookmarkTimeout
CMP-053,"Could not write to a database due to a cluster leader switch that occurred during the transaction. Previous leader: $location1, Current leader: $location2.",51N34,,Neo.TransientError.Transaction.LeaderSwitch
CMP-054,The locations associated with the graph name $name have changed whilst the transaction was running.,51N35,,Neo.TransientError.Transaction.Outdated
CMP-055,Unable to route to database '$db'. $statusDescription,08N09,,Neo.TransientError.General.DatabaseUnavailable
CMP-056,Database '$db' unavailable,08N09,,Neo.TransientError.General.DatabaseUnavailable
CMP-057,-,08N09,,Neo.TransientError.General.DatabaseUnavailable
CMP-058,This database is shutdown.,08N09,,Neo.TransientError.General.DatabaseUnavailable
CMP-059,Database '$db' is unavailable.,08N09,,Neo.TransientError.General.DatabaseUnavailable
CMP-063,Requested database is not available. Requested database name: '$db'.,08N09,,Neo.TransientError.General.DatabaseUnavailable
CMP-067,Unable to complete transaction.,25N02,,Neo.DatabaseError.General.UnknownError
CMP-069,$wrappedError,50N42,,Neo.DatabaseError.Statement.ExecutionFailed
CMP-070,Query execution failed,50N42,,Neo.DatabaseError.Statement.ExecutionFailed
CMP-071,Trying to process query in a closed transaction,50N07,25N05,Neo.DatabaseError.Statement.ExecutionFailed
CMP-073,Trying to execute query in a closed transaction,50N07,25N05,Neo.DatabaseError.Statement.ExecutionFailed
CMP-075,Trying to commit closed transaction,2DN01,,Neo.DatabaseError.Transaction.TransactionCommitFailed
CMP-076,Failed to commit [read or write] child transaction.,2DN02,,Neo.DatabaseError.Transaction.TransactionCommitFailed
CMP-077,Failed to commit composite transaction,2DN01,,Neo.DatabaseError.Transaction.TransactionCommitFailed
CMP-078,Trying to commit closed transaction,2DN01,,Neo.DatabaseError.Transaction.TransactionCommitFailed
CMP-079,Failed to commit [read or write] child transaction.,2DN02,,Neo.DatabaseError.Transaction.TransactionCommitFailed
CMP-080,?,40N02,,Neo.DatabaseError.Transaction.TransactionRollbackFailed
CMP-081,Failed to rollback composite transaction,40N01,,Neo.DatabaseError.Transaction.TransactionRollbackFailed
CMP-082,?Failed to rollback a child write transaction.,40N02,,Neo.DatabaseError.Transaction.TransactionRollbackFailed
CMP-083-a,?,25N06,,Neo.DatabaseError.Transaction.TransactionStartFailed
CMP-083-b,?,25N07,,Neo.DatabaseError.Transaction.TransactionStartFailed
CMP-084,?,2DN04,,Neo.DatabaseError.Transaction.TransactionTerminationFailed
CMP-085,Failed to terminate composite transaction,2DN03,,Neo.DatabaseError.Transaction.TransactionTerminationFailed
CMP-086,?$FirstChildTransactionException,2DN04,,Neo.DatabaseError.Transaction.TransactionTerminationFailed
CMP-089,Database $dbName not found.,42001,42N00,Neo.ClientError.Database.DatabaseNotFound
CMP-090,Database '$dbName' does not exist.,42001,42N00,Neo.ClientError.Database.DatabaseNotFound
CMP-093,$kind not found: $needle->Graph not found: $nameView not found: $name,42001,42N00,Neo.ClientError.Statement.EntityNotFound
CMP-094,Database corresponding to element id: $id,42001,42NA7,Neo.ClientError.Statement.EntityNotFound
CYO-203,"Wrong type '$type'('$object') in '$in', expected '$expectedType'.",22N01,,Neo.ClientError.Statement.ArgumentError
CYO-204,Missing field '$field'.,22N55,,Neo.ClientError.Statement.ArgumentError
CYO-205,"Unexpected field(s) [$unexpectedString], expected one of [$expectedString].",22N04,,Neo.ClientError.Statement.ArgumentError
CYO-206,"Unexpected value '$found' for field '$key', expected one of [$expectedString].",22N04,,Neo.ClientError.Statement.ArgumentError
CYO-388,An auth provider request failed.,42NFC,,Neo.TransientError.Security.AuthProviderFailed
CYO-389,An auth provider request timed out.,42NFC,,Neo.TransientError.Security.AuthProviderTimeout
CYO-462,Unauthorized access violation: $wrappedErrorMessage.,42NFF,,Neo.ClientError.Security.Forbidden
CYP-001,No such index: $index,42001,22N69,Neo.ClientError.Schema.IndexNotFound
CYP-002,"Cannot use text index hint `$hintSerialization` in this context: The hint specifies using a text index but no matching predicate was found. For more information on when a text index is applicable, please consult the documentation on the use of text indexes. You could try to convert the compared value to string by calling `toString()` on it or by testing whether it is a string using `STARTS WITH`. For more information on when a text index is applicable, please consult the documentation on the use of text indexes.",42N76,42N77,Neo.ClientError.Statement.SemanticError
CYP-003,"Cannot use text index hint `$hintSerialization` in this context: The hint specifies using a text index but the predicate found cannot be used by a text index. You could try to convert the compared value to string by calling `toString()` on it or by testing whether it is a string using `STARTS WITH`. For more information on when a text index is applicable, please consult the documentation on the use of text indexes.",42N76,42N77,Neo.ClientError.Statement.SemanticError
CYP-004,"Cannot use text index hint `$hintSerialization` in this context: The hint specifies using a text index but none of the predicates found can be used by a text index. You could try to convert the compared value to string by calling `toString()` on it or by testing whether it is a string using `STARTS WITH`. For more information on when a text index is applicable, please consult the documentation on the use of text indexes.",42N76,42N77,Neo.ClientError.Statement.SemanticError
CYP-005,"Cannot use index hint `$prettifiedHint` in this context: Must use label `$labelName`, that the hint is referring to, on the node `$variable` either in the pattern or in supported predicates in `WHERE` (either directly or as part of a top-level `AND` or `OR`), but no label was found. Predicates must include the label literal `$labelName`. That is, the function `labels()` is not compatible with indexes. Note that label `$labelName` must be specified on a non-optional node.",42N76,42N77,Neo.ClientError.Statement.SyntaxError
CYP-006,"Cannot use index hint `$prettifiedHint` in this context: Must use label `$labelName`, that the hint is referring to, on the node `$variable` either in the pattern or in supported predicates in `WHERE` (either directly or as part of a top-level `AND` or `OR`), but only the label `$typePredicate` was found. Predicates must include the label literal `$labelName`. That is, the function `labels()` is not compatible with indexes. Note that label `$labelName` must be specified on a non-optional node.",42N76,42N77,Neo.ClientError.Statement.SyntaxError
CYP-007,"Cannot use index hint `$prettifiedHint` in this context: Must use label `$labelName`, that the hint is referring to, on the node `$variable` either in the pattern or in supported predicates in `WHERE` (either directly or as part of a top-level `AND` or `OR`), but only the labels `$typePredicate1`, `$typePredicate2`, ... `$typePredicaten` were  found. Predicates must include the label literal `$labelName`. That is, the function `labels()` is not compatible with indexes. Note that label `$labelName` must be specified on a non-optional node.",42N76,42N77,Neo.ClientError.Statement.SyntaxError
CYP-008,"Cannot use label scan hint `$prettifiedHint` in this context: Must use label `$labelName`, that the hint is referring to, on the node `$variable` either in the pattern or in supported predicates in `WHERE` (either directly or as part of a top-level `AND` or `OR`), but no label was found. Predicates must include the label literal `$labelName`. That is, the function `labels()` is not compatible with indexes. Note that label `$labelName` must be specified on a non-optional node.",42N76,42N77,Neo.ClientError.Statement.SyntaxError
CYP-009,"Cannot use label scan hint `$prettifiedHint` in this context: Must use label `$labelName`, that the hint is referring to, on the node `$variable` either in the pattern or in supported predicates in `WHERE` (either directly or as part of a top-level `AND` or `OR`), but only the label `$typePredicate` was found. Predicates must include the label literal `$labelName`. That is, the function `labels()` is not compatible with indexes. Note that label `$labelName` must be specified on a non-optional node.",42N76,42N77,Neo.ClientError.Statement.SyntaxError
CYP-010,"Cannot use label scan hint `$prettifiedHint` in this context: Must use label `$labelName`, that the hint is referring to, on the node `$variable` either in the pattern or in supported predicates in `WHERE` (either directly or as part of a top-level `AND` or `OR`), but only the labels `$typePredicate1`, `$typePredicate2`, ... `$typePredicaten` were  found. Predicates must include the label literal `$labelName`. That is, the function `labels()` is not compatible with indexes. Note that label `$labelName` must be specified on a non-optional node.",42N76,42N77,Neo.ClientError.Statement.SyntaxError
CYP-011,"Cannot use join hint `$prettifiedHint` in this context: Must use label `$labelName`, that the hint is referring to, on the node `$variable` either in the pattern or in supported predicates in `WHERE` (either directly or as part of a top-level `AND` or `OR`), but no label was found. Predicates must include the label literal `$labelName`. That is, the function `labels()` is not compatible with indexes. Note that label `$labelName` must be specified on a non-optional node.",42N76,42N77,Neo.ClientError.Statement.SyntaxError
CYP-012,"Cannot use join hint `$prettifiedHint` in this context: Must use label `$labelName`, that the hint is referring to, on the node `$variable` either in the pattern or in supported predicates in `WHERE` (either directly or as part of a top-level `AND` or `OR`), but only the label `$typePredicate` was found. Predicates must include the label literal `$labelName`. That is, the function `labels()` is not compatible with indexes. Note that label `$labelName` must be specified on a non-optional node.",42N76,42N77,Neo.ClientError.Statement.SyntaxError
CYP-013,"Cannot use join hint `$prettifiedHint` in this context: Must use label `$labelName`, that the hint is referring to, on the node `$variable` either in the pattern or in supported predicates in `WHERE` (either directly or as part of a top-level `AND` or `OR`), but only the labels `$typePredicate1`, `$typePredicate2`, ... `$typePredicaten` were  found. Predicates must include the label literal `$labelName`. That is, the function `labels()` is not compatible with indexes. Note that label `$labelName` must be specified on a non-optional node.",42N76,42N77,Neo.ClientError.Statement.SyntaxError
CYP-014,"Cannot use index hint `$prettifiedHint` in this context: Must use relationship type `$relTypeName`, that the hint is referring to, on the relationship `$variable` either in the pattern or in supported predicates in `WHERE` (either directly or as part of a top-level `AND` or `OR`), but no relationship type was found. Predicates must include the relationship type literal `$relTypeName`. That is, the function `type()` is not compatible with indexes. Note that relationship type `$relTypeName` must be specified on a non-optional relationship.",42N76,42N77,Neo.ClientError.Statement.SyntaxError
CYP-015,"Cannot use index hint `$prettifiedHint` in this context: Must use relationship type `$relTypeName`, that the hint is referring to, on the relationship `$variable` either in the pattern or in supported predicates in `WHERE` (either directly or as part of a top-level `AND` or `OR`), but only the relationship type `$typePredicate` was found. Predicates must include the relationship type literal `$relTypeName`. That is, the function `$type()` is not compatible with indexes. Note that relationship type `$relTypeName` must be specified on a non-optional relationship.",42N76,42N77,Neo.ClientError.Statement.SyntaxError
CYP-016,"Cannot use index hint `$prettifiedHint` in this context: Must use relationship type `$relTypeName`, that the hint is referring to, on the relationship `$variable` either in the pattern or in supported predicates in `WHERE` (either directly or as part of a top-level `AND` or `OR`), but only the relationship types `$typePredicate1`, `$typePredicate2`, ... `$typePredicaten` were  found. Predicates must include the relationship type literal `$relTypeName`. That is, the function `$type()` is not compatible with indexes. Note that relationship type `$relTypeName` must be specified on a non-optional relationship.",42N76,42N77,Neo.ClientError.Statement.SyntaxError
CYP-017,"Cannot use relationship type hint `$prettifiedHint` in this context: Must use relationship type `$relTypeName`, that the hint is referring to, on the relationship `$variable` either in the pattern or in supported predicates in `WHERE` (either directly or as part of a top-level `AND` or `OR`), but no relationship type was found. Predicates must include the relationship type literal `$relTypeName`. That is, the function `$type()` is not compatible with indexes. Note that relationship type `$relTypeName` must be specified on a non-optional relationship.",42N76,42N77,Neo.ClientError.Statement.SyntaxError
CYP-018,"Cannot use relationship type hint `$prettifiedHint` in this context: Must use relationship type `$relTypeName`, that the hint is referring to, on the relationship `$variable` either in the pattern or in supported predicates in `WHERE` (either directly or as part of a top-level `AND` or `OR`), but only the relationship type `$typePredicate` was found. Predicates must include the relationship type literal `$relTypeName`. That is, the function `$type()` is not compatible with indexes. Note that relationship type `$relTypeName` must be specified on a non-optional relationship.",42N76,42N77,Neo.ClientError.Statement.SyntaxError
